Time Start, Time End, x, y, Qx, Qy
1670598748038, 1670598748097, 833.6467571182967, 518.3759994842643, 840.0, 540.0
1670598748119, 1670598748133, 826.8858208728668, 530.4637207226558, 840.0, 540.0
1670598748145, 1670598748179, 813.6299743609188, 529.7573017962399, 840.0, 540.0
1670598748180, 1670598748209, 821.3776272996046, 517.0604302677997, 840.0, 540.0
1670598748217, 1670598748235, 826.157968638427, 535.0742573248207, 840.0, 540.0
1670598748235, 1670598748253, 828.7381067769555, 534.7030846343861, 840.0, 540.0
1670598748260, 1670598748282, 819.9178565066462, 531.9567829168202, 840.0, 540.0
1670598748287, 1670598748307, 821.5063602391896, 514.0050701875333, 840.0, 540.0
1670598748314, 1670598748331, 826.6328552809224, 512.8483938752371, 840.0, 540.0
1670598748338, 1670598748359, 833.0083457899015, 511.1942416458158, 840.0, 540.0
1670598748360, 1670598748386, 820.5123262968456, 526.8199680391932, 840.0, 540.0
1670598748387, 1670598748411, 839.9759517598787, 504.19268826857456, 840.0, 480.0
1670598748425, 1670598748436, 796.9046862736943, 526.720209225223, 780.0, 540.0
1670598748439, 1670598748483, 785.0989562599751, 526.5798839526556, 780.0, 540.0
1670598748490, 1670598748528, 530.7030576620151, 693.5321624116339, 540.0, 720.0
1670598748538, 1670598748559, 835.7315345348551, 522.0182538770529, 840.0, 540.0
1670598748565, 1670598748585, 851.5293834493506, 521.671876056631, 840.0, 540.0
1670598748593, 1670598748633, 1172.5625074317304, 316.94718077800576, 1200.0, 300.0
1670598748643, 1670598748661, 1172.5625074317304, 316.94718077800576, 1200.0, 300.0
1670598748669, 1670598748733, 835.2892189234727, 525.2875370424663, 840.0, 540.0
1670598748735, 1670598748762, 835.2892189234727, 525.2875370424663, 840.0, 540.0
1670598748764, 1670598748793, 835.2892189234727, 525.2875370424663, 840.0, 540.0
1670598748798, 1670598748822, 832.6997481158988, 545.270278034638, 840.0, 540.0
1670598748836, 1670598748853, 832.6997481158988, 545.270278034638, 840.0, 540.0
1670598748862, 1670598748880, 835.2892189234727, 525.2875370424663, 840.0, 540.0
1670598748891, 1670598748907, 835.2892189234727, 525.2875370424663, 840.0, 540.0
1670598748916, 1670598748935, 835.2892189234727, 525.2875370424663, 840.0, 540.0
1670598748945, 1670598748951, 835.2892189234727, 525.2875370424663, 840.0, 540.0
1670598748968, 1670598748980, 839.0009071917844, 505.8017582780465, 840.0, 480.0
1670598748989, 1670598749007, 824.6595540717366, 507.20166995820387, 840.0, 480.0
1670598749023, 1670598749036, 824.6595540717366, 507.20166995820387, 840.0, 480.0
1670598749046, 1670598749054, 824.6595540717366, 507.20166995820387, 840.0, 480.0
1670598749060, 1670598749084, 824.6595540717366, 507.20166995820387, 840.0, 480.0
1670598749089, 1670598749111, 824.6595540717366, 507.20166995820387, 840.0, 480.0
1670598749120, 1670598749138, 824.6595540717366, 507.20166995820387, 840.0, 480.0
1670598749148, 1670598749161, 839.0009071917844, 505.8017582780465, 840.0, 480.0
1670598749162, 1670598749190, 839.0009071917844, 505.8017582780465, 840.0, 480.0
1670598749196, 1670598749217, 655.9226539566789, 606.3189406597346, 660.0, 600.0
1670598749225, 1670598749245, 655.9226539566789, 606.3189406597346, 660.0, 600.0
1670598749254, 1670598749271, 655.9226539566789, 606.3189406597346, 660.0, 600.0
