Time Start, Time End, x, y, Qx, Qy
1670598717239, 1670598717257, 396.1954478911806, 545.227934975752, 420.0, 540.0
1670598717264, 1670598717289, 395.77131508384934, 542.6192220702234, 420.0, 540.0
1670598717291, 1670598717313, 394.52336640772677, 542.3354376905072, 420.0, 540.0
1670598717317, 1670598717339, 393.57353093497096, 542.8643895754451, 420.0, 540.0
1670598717342, 1670598717365, 392.2538833809188, 542.5684615268847, 420.0, 540.0
1670598717373, 1670598717390, 391.9393671068895, 542.1779953922951, 420.0, 540.0
1670598717397, 1670598717417, 390.5615585657193, 541.8539251161361, 420.0, 540.0
1670598717421, 1670598717443, 389.762657186186, 539.8843716044801, 360.0, 540.0
1670598717457, 1670598717493, 388.7900761435722, 537.9454714136461, 360.0, 540.0
1670598717496, 1670598717520, 388.24799916213954, 534.292489453939, 360.0, 540.0
1670598717531, 1670598717548, 387.94231693232524, 529.5098121823338, 360.0, 540.0
1670598717561, 1670598717572, 387.9286364512828, 523.6477619024664, 360.0, 540.0
1670598717580, 1670598717596, 387.17578884737156, 519.143288202157, 360.0, 540.0
1670598717608, 1670598717624, 386.8751949118285, 510.7048805626357, 360.0, 540.0
1670598717636, 1670598717644, 386.5534557169877, 502.33909755606146, 360.0, 480.0
1670598717650, 1670598717670, 386.2317165221469, 493.9733145494872, 360.0, 480.0
1670598717682, 1670598717718, 384.80572553297105, 485.50292763989484, 360.0, 480.0
1670598717721, 1670598717746, 383.6775933584379, 472.9761307283307, 360.0, 480.0
1670598717747, 1670598717761, 382.3968702143037, 459.4406447932982, 360.0, 480.0
1670598717776, 1670598717794, 381.4160559501673, 446.7432669690782, 360.0, 420.0
1670598717804, 1670598717820, 380.43524168603085, 434.04588914485817, 360.0, 420.0
1670598717832, 1670598717849, 380.51771968903535, 421.2821154622075, 360.0, 420.0
1670598717862, 1670598717875, 379.79255804308434, 409.350140134064, 360.0, 420.0
1670598717887, 1670598717899, 379.3936670298148, 398.3962005085667, 360.0, 420.0
1670598717913, 1670598717951, 378.756126201335, 388.10309956838927, 360.0, 360.0
1670598717963, 1670598717980, 377.3633714936414, 380.1313961650875, 360.0, 360.0
1670598717989, 1670598718005, 376.1599105247176, 373.99359097786686, 360.0, 360.0
1670598718022, 1670598718048, 374.92861801313313, 368.8998198859997, 360.0, 360.0
1670598718055, 1670598718071, 373.2450718331806, 367.7399827333445, 360.0, 360.0
1670598718084, 1670598718128, 371.561525653228, 366.58014558068936, 360.0, 360.0
1670598718144, 1670598718162, 370.11983925174553, 367.42909870012824, 360.0, 360.0
1670598718170, 1670598718180, 369.78240464459805, 368.3826557225853, 360.0, 360.0
1670598718198, 1670598718209, 370.60677953298443, 372.93552748774675, 360.0, 360.0
1670598718220, 1670598718233, 371.2886510776451, 378.49947476933573, 360.0, 360.0
1670598718245, 1670598718255, 371.97052262230585, 384.0634220509247, 360.0, 360.0
1670598718266, 1670598718282, 372.65239416696653, 389.6273693325137, 360.0, 360.0
1670598718288, 1670598718311, 373.33426571162727, 395.1913166141026, 360.0, 420.0
1670598718322, 1670598718337, 374.04062757574286, 401.768012584647, 360.0, 420.0
1670598718337, 1670598718368, 374.56167352313867, 408.3625541710121, 360.0, 420.0
1670598718378, 1670598718388, 375.84304333040575, 415.0242131739089, 360.0, 420.0
1670598718398, 1670598718412, 376.89872209681204, 421.69703174157047, 360.0, 420.0
1670598718425, 1670598718438, 377.47310537567665, 427.61532510141325, 360.0, 420.0
1670598718452, 1670598718462, 378.0474886545413, 433.53361846125597, 360.0, 420.0
1670598718466, 1670598718489, 378.621871933406, 439.45191182109875, 360.0, 420.0
1670598718497, 1670598718511, 380.07648108016815, 446.460747458363, 360.0, 420.0
1670598718523, 1670598718540, 381.38091031307874, 451.3798173242372, 360.0, 480.0
1670598718550, 1670598718558, 382.6853395459893, 456.2988871901114, 360.0, 480.0
1670598718572, 1670598718579, 383.2622364728963, 459.43109928873645, 360.0, 480.0
1670598718590, 1670598718611, 385.17894137716104, 463.7118077964918, 360.0, 480.0
1670598718617, 1670598718633, 387.09564628142584, 467.9925163042472, 360.0, 480.0
1670598718639, 1670598718656, 387.9383189538992, 472.0889830482262, 360.0, 480.0
1670598718666, 1670598718683, 389.6285226427115, 475.22922218252523, 360.0, 480.0
1670598718694, 1670598718705, 391.29423601206895, 477.35671262786883, 420.0, 480.0
1670598718720, 1670598718730, 392.26614174458496, 478.36627940599436, 420.0, 480.0
1670598718746, 1670598718754, 393.01235643624017, 479.3870057488846, 420.0, 480.0
1670598718768, 1670598718773, 394.04983002420624, 479.3734240759526, 420.0, 480.0
1670598718786, 1670598718803, 395.09937365685204, 478.35248059763927, 420.0, 480.0
1670598718816, 1670598718826, 396.1082705324512, 476.3317649276958, 420.0, 480.0
1670598718842, 1670598718857, 396.27726433256294, 472.29015074360166, 420.0, 480.0
1670598718869, 1670598718880, 395.56603226477716, 467.15799428208607, 420.0, 480.0
1670598718890, 1670598718906, 394.7631203323729, 462.1068133198664, 420.0, 480.0
1670598718917, 1670598718930, 393.9602083999687, 457.05563235764674, 420.0, 480.0
1670598718939, 1670598718944, 393.2489763321829, 451.9234758961311, 420.0, 480.0
1670598718955, 1670598718973, 391.84644813629166, 445.6536023291422, 420.0, 420.0
1670598718986, 1670598718996, 390.4439199404004, 439.3837287621533, 420.0, 420.0
1670598719016, 1670598719030, 390.01397079523883, 432.3025092592016, 420.0, 420.0
1670598719043, 1670598719060, 387.53586871454706, 424.25782443997065, 360.0, 420.0
1670598719068, 1670598719084, 385.2630471192062, 417.2385752740733, 360.0, 420.0
1670598719096, 1670598719116, 383.23546262028384, 409.5561899282862, 360.0, 420.0
1670598719126, 1670598719173, 381.20787812136155, 401.87380458249913, 360.0, 420.0
1670598719178, 1670598719200, 379.6472248769399, 395.3404967958305, 360.0, 420.0
1670598719206, 1670598719254, 377.6819812709788, 389.13483065556863, 360.0, 360.0
1670598719257, 1670598719285, 375.7573844220643, 383.92893670693695, 360.0, 360.0
1670598719286, 1670598719312, 374.3500534393117, 380.1310594626037, 360.0, 360.0
1670598719326, 1670598719407, 372.27303586030285, 376.2319183447808, 360.0, 360.0
1670598719414, 1670598719462, 369.90562496115024, 371.7754254389275, 360.0, 360.0
1670598719471, 1670598719488, 367.5382140619977, 367.31893253307425, 360.0, 360.0
1670598719494, 1670598719510, 364.93382116381304, 362.34953649897926, 360.0, 360.0
1670598719520, 1670598719533, 361.19162268974554, 357.2643528362981, 360.0, 360.0
1670598719542, 1670598719560, 356.9170474912096, 352.0982559690566, 360.0, 360.0
1670598719571, 1670598719574, 352.54081431079703, 347.4708964439338, 360.0, 360.0
1670598719585, 1670598719603, 349.3652030495757, 344.76322984477014, 360.0, 360.0
1670598719611, 1670598719629, 345.98431130300355, 341.030127592273, 360.0, 360.0
